ko_id,pathway_id,pathway_name
K00844,map00521,Streptomycin biosynthesis [PATH:ko00521]
K00844,map00500,Starch and sucrose metabolism [PATH:ko00500]
K00844,map04066,HIF-1 signaling pathway [PATH:ko04066]
K00844,map04131,Membrane trafficking [BR:ko04131]
K00844,map05131,Shigellosis [PATH:ko05131]
K00844,map00052,Galactose metabolism [PATH:ko00052]
K00844,map04930,Type II diabetes mellitus [PATH:ko04930]
K00844,map05230,Central carbon metabolism in cancer [PATH:ko05230]
K00844,map00051,Fructose and mannose metabolism [PATH:ko00051]
K00844,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00844,map00524,"Neomycin, kanamycin and gentamicin biosynthesis [PATH:ko00524]"
K00844,map04973,Carbohydrate digestion and absorption [PATH:ko04973]
K00844,map04910,Insulin signaling pathway [PATH:ko04910]
K00844,map00520,Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
K12407,map00521,Streptomycin biosynthesis [PATH:ko00521]
K12407,map00500,Starch and sucrose metabolism [PATH:ko00500]
K12407,map04911,Insulin secretion [PATH:ko04911]
K12407,map04917,Prolactin signaling pathway [PATH:ko04917]
K12407,map04950,Maturity onset diabetes of the young [PATH:ko04950]
K12407,map04922,Glucagon signaling pathway [PATH:ko04922]
K12407,map00052,Galactose metabolism [PATH:ko00052]
K12407,map04930,Type II diabetes mellitus [PATH:ko04930]
K12407,map05230,Central carbon metabolism in cancer [PATH:ko05230]
K12407,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K12407,map00524,"Neomycin, kanamycin and gentamicin biosynthesis [PATH:ko00524]"
K12407,map04910,Insulin signaling pathway [PATH:ko04910]
K12407,map00520,Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
K00845,map00521,Streptomycin biosynthesis [PATH:ko00521]
K00845,map00500,Starch and sucrose metabolism [PATH:ko00500]
K00845,map00052,Galactose metabolism [PATH:ko00052]
K00845,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00845,map00524,"Neomycin, kanamycin and gentamicin biosynthesis [PATH:ko00524]"
K00845,map00520,Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
K01810,map00030,Pentose phosphate pathway [PATH:ko00030]
K01810,map00500,Starch and sucrose metabolism [PATH:ko00500]
K01810,map04147,Exosome [BR:ko04147]
K01810,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K01810,map00520,Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
K06859,map00030,Pentose phosphate pathway [PATH:ko00030]
K06859,map00500,Starch and sucrose metabolism [PATH:ko00500]
K06859,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K06859,map00520,Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
K13810,map00030,Pentose phosphate pathway [PATH:ko00030]
K13810,map00500,Starch and sucrose metabolism [PATH:ko00500]
K13810,map00710,Carbon fixation by Calvin cycle [PATH:ko00710]
K13810,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K13810,map00520,Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
K15916,map00030,Pentose phosphate pathway [PATH:ko00030]
K15916,map00500,Starch and sucrose metabolism [PATH:ko00500]
K15916,map00051,Fructose and mannose metabolism [PATH:ko00051]
K15916,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K15916,map00520,Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
K24182,map00680,Methane metabolism [PATH:ko00680]
K24182,map00030,Pentose phosphate pathway [PATH:ko00030]
K24182,map00051,Fructose and mannose metabolism [PATH:ko00051]
K24182,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00850,map00030,Pentose phosphate pathway [PATH:ko00030]
K00850,map03018,RNA degradation [PATH:ko03018]
K00850,map04066,HIF-1 signaling pathway [PATH:ko04066]
K00850,map04152,AMPK signaling pathway [PATH:ko04152]
K00850,map04922,Glucagon signaling pathway [PATH:ko04922]
K00850,map00052,Galactose metabolism [PATH:ko00052]
K00850,map04919,Thyroid hormone signaling pathway [PATH:ko04919]
K00850,map05230,Central carbon metabolism in cancer [PATH:ko05230]
K00850,map00680,Methane metabolism [PATH:ko00680]
K00850,map00051,Fructose and mannose metabolism [PATH:ko00051]
K00850,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010]
K00850,map01009,Protein phosphatases and associated proteins [BR:ko01009]
K00850,map03019,Messenger RNA biogenesis [BR:ko03019]
K16370,map00030,Pentose phosphate pathway [PATH:ko00030]
