biosample_id,pathway_id,pathway_name,expr_sum
nmdc:bsm-11-042nd237,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010],327421
nmdc:bsm-11-042nd237,map00020,Citrate cycle (TCA cycle) [PATH:ko00020],245707
nmdc:bsm-11-042nd237,map00030,Pentose phosphate pathway [PATH:ko00030],181284
nmdc:bsm-11-042nd237,map00040,Pentose and glucuronate interconversions [PATH:ko00040],52294
nmdc:bsm-11-042nd237,map00051,Fructose and mannose metabolism [PATH:ko00051],84861
nmdc:bsm-11-042nd237,map00052,Galactose metabolism [PATH:ko00052],47456
nmdc:bsm-11-042nd237,map00053,Ascorbate and aldarate metabolism [PATH:ko00053],57276
nmdc:bsm-11-042nd237,map00061,Fatty acid biosynthesis [PATH:ko00061],150937
nmdc:bsm-11-042nd237,map00062,Fatty acid elongation [PATH:ko00062],1820
nmdc:bsm-11-042nd237,map00071,Fatty acid degradation [PATH:ko00071],157872
nmdc:bsm-11-042nd237,map00073,"Cutin, suberine and wax biosynthesis [PATH:ko00073]",3327
nmdc:bsm-11-042nd237,map00074,Mycolic acid biosynthesis [PATH:ko00074],28010
nmdc:bsm-11-042nd237,map00100,Steroid biosynthesis [PATH:ko00100],2938
nmdc:bsm-11-042nd237,map00120,Primary bile acid biosynthesis [PATH:ko00120],2077
nmdc:bsm-11-042nd237,map00121,Secondary bile acid biosynthesis [PATH:ko00121],228
nmdc:bsm-11-042nd237,map00130,Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130],41291
nmdc:bsm-11-042nd237,map00140,Steroid hormone biosynthesis [PATH:ko00140],29393
nmdc:bsm-11-042nd237,map00190,Oxidative phosphorylation [PATH:ko00190],519152
nmdc:bsm-11-042nd237,map00194,Photosynthesis proteins [BR:ko00194],104577
nmdc:bsm-11-042nd237,map00195,Photosynthesis [PATH:ko00195],95182
nmdc:bsm-11-042nd237,map00199,Cytochrome P450 [BR:ko00199],4843
nmdc:bsm-11-042nd237,map00220,Arginine biosynthesis [PATH:ko00220],139594
nmdc:bsm-11-042nd237,map00230,Purine metabolism [PATH:ko00230],307878
nmdc:bsm-11-042nd237,map00232,Caffeine metabolism [PATH:ko00232],1867
nmdc:bsm-11-042nd237,map00240,Pyrimidine metabolism [PATH:ko00240],140687
nmdc:bsm-11-042nd237,map00250,"Alanine, aspartate and glutamate metabolism [PATH:ko00250]",249215
nmdc:bsm-11-042nd237,map00253,Tetracycline biosynthesis [PATH:ko00253],221
nmdc:bsm-11-042nd237,map00254,Aflatoxin biosynthesis [PATH:ko00254],1292
nmdc:bsm-11-042nd237,map00260,"Glycine, serine and threonine metabolism [PATH:ko00260]",166237
nmdc:bsm-11-042nd237,map00261,Monobactam biosynthesis [PATH:ko00261],51211
nmdc:bsm-11-042nd237,map00270,Cysteine and methionine metabolism [PATH:ko00270],226882
nmdc:bsm-11-042nd237,map00280,"Valine, leucine and isoleucine degradation [PATH:ko00280]",195596
nmdc:bsm-11-042nd237,map00290,"Valine, leucine and isoleucine biosynthesis [PATH:ko00290]",109856
nmdc:bsm-11-042nd237,map00300,Lysine biosynthesis [PATH:ko00300],51890
nmdc:bsm-11-042nd237,map00310,Lysine degradation [PATH:ko00310],103521
nmdc:bsm-11-042nd237,map00311,Penicillin and cephalosporin biosynthesis [PATH:ko00311],2973
nmdc:bsm-11-042nd237,map00330,Arginine and proline metabolism [PATH:ko00330],167040
nmdc:bsm-11-042nd237,map00332,Carbapenem biosynthesis [PATH:ko00332],3831
nmdc:bsm-11-042nd237,map00333,Prodigiosin biosynthesis [PATH:ko00333],52616
nmdc:bsm-11-042nd237,map00340,Histidine metabolism [PATH:ko00340],73684
nmdc:bsm-11-042nd237,map00350,Tyrosine metabolism [PATH:ko00350],92785
nmdc:bsm-11-042nd237,map00360,Phenylalanine metabolism [PATH:ko00360],121345
nmdc:bsm-11-042nd237,map00361,Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361],49501
nmdc:bsm-11-042nd237,map00362,Benzoate degradation [PATH:ko00362],138634
nmdc:bsm-11-042nd237,map00363,Bisphenol degradation [PATH:ko00363],1897
nmdc:bsm-11-042nd237,map00364,Fluorobenzoate degradation [PATH:ko00364],35102
nmdc:bsm-11-042nd237,map00365,Furfural degradation [PATH:ko00365],1579
nmdc:bsm-11-042nd237,map00380,Tryptophan metabolism [PATH:ko00380],156625
nmdc:bsm-11-042nd237,map00400,"Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]",71034
nmdc:bsm-11-042nd237,map00401,Novobiocin biosynthesis [PATH:ko00401],25803
nmdc:bsm-11-042nd237,map00404,Staurosporine biosynthesis [PATH:ko00404],544
nmdc:bsm-11-042nd237,map00405,Phenazine biosynthesis [PATH:ko00405],3236
nmdc:bsm-11-042nd237,map00410,beta-Alanine metabolism [PATH:ko00410],65197
nmdc:bsm-11-042nd237,map00430,Taurine and hypotaurine metabolism [PATH:ko00430],56687
nmdc:bsm-11-042nd237,map00440,Phosphonate and phosphinate metabolism [PATH:ko00440],2768
nmdc:bsm-11-042nd237,map00450,Selenocompound metabolism [PATH:ko00450],127012
nmdc:bsm-11-042nd237,map00460,Cyanoamino acid metabolism [PATH:ko00460],32150
nmdc:bsm-11-042nd237,map00470,D-Amino acid metabolism [PATH:ko00470],24196
nmdc:bsm-11-042nd237,map00480,Glutathione metabolism [PATH:ko00480],116957
nmdc:bsm-11-042nd237,map00500,Starch and sucrose metabolism [PATH:ko00500],126164
nmdc:bsm-11-042nd237,map00510,N-Glycan biosynthesis [PATH:ko00510],9212
nmdc:bsm-11-042nd237,map00511,Other glycan degradation [PATH:ko00511],9873
nmdc:bsm-11-042nd237,map00512,Mucin type O-glycan biosynthesis [PATH:ko00512],40
nmdc:bsm-11-042nd237,map00513,Various types of N-glycan biosynthesis [PATH:ko00513],4491
nmdc:bsm-11-042nd237,map00514,Other types of O-glycan biosynthesis [PATH:ko00514],4607
nmdc:bsm-11-042nd237,map00515,Mannose type O-glycan biosynthesis [PATH:ko00515],2013
nmdc:bsm-11-042nd237,map00520,Amino sugar and nucleotide sugar metabolism [PATH:ko00520],136861
nmdc:bsm-11-042nd237,map00521,Streptomycin biosynthesis [PATH:ko00521],32385
nmdc:bsm-11-042nd237,map00523,Polyketide sugar unit biosynthesis [PATH:ko00523],10177
nmdc:bsm-11-042nd237,map00524,"Neomycin, kanamycin and gentamicin biosynthesis [PATH:ko00524]",4219
nmdc:bsm-11-042nd237,map00525,Acarbose and validamycin biosynthesis [PATH:ko00525],6222
nmdc:bsm-11-042nd237,map00531,Glycosaminoglycan degradation [PATH:ko00531],4889
nmdc:bsm-11-042nd237,map00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate [PATH:ko00532],13
nmdc:bsm-11-042nd237,map00533,Glycosaminoglycan biosynthesis - keratan sulfate [PATH:ko00533],3
nmdc:bsm-11-042nd237,map00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin [PATH:ko00534],26
nmdc:bsm-11-042nd237,map00535,Proteoglycans [BR:ko00535],119
nmdc:bsm-11-042nd237,map00536,Glycosaminoglycan binding proteins [BR:ko00536],3829
nmdc:bsm-11-042nd237,map00537,Glycosylphosphatidylinositol (GPI)-anchored proteins [BR:ko00537],10969
nmdc:bsm-11-042nd237,map00540,Lipopolysaccharide biosynthesis [PATH:ko00540],22476
nmdc:bsm-11-042nd237,map00541,Biosynthesis of various nucleotide sugars [PATH:ko00541],88469
nmdc:bsm-11-042nd237,map00542,O-Antigen repeat unit biosynthesis [PATH:ko00542],3807
nmdc:bsm-11-042nd237,map00543,Exopolysaccharide biosynthesis [PATH:ko00543],24509
nmdc:bsm-11-042nd237,map00550,Peptidoglycan biosynthesis [PATH:ko00550],65217
nmdc:bsm-11-042nd237,map00552,Teichoic acid biosynthesis [PATH:ko00552],9406
nmdc:bsm-11-042nd237,map00561,Glycerolipid metabolism [PATH:ko00561],59757
nmdc:bsm-11-042nd237,map00562,Inositol phosphate metabolism [PATH:ko00562],46125
nmdc:bsm-11-042nd237,map00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis [PATH:ko00563],1529
nmdc:bsm-11-042nd237,map00564,Glycerophospholipid metabolism [PATH:ko00564],43850
nmdc:bsm-11-042nd237,map00565,Ether lipid metabolism [PATH:ko00565],7628
nmdc:bsm-11-042nd237,map00571,Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571],1730
nmdc:bsm-11-042nd237,map00572,Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572],5284
nmdc:bsm-11-042nd237,map00590,Arachidonic acid metabolism [PATH:ko00590],2025
nmdc:bsm-11-042nd237,map00591,Linoleic acid metabolism [PATH:ko00591],12990
nmdc:bsm-11-042nd237,map00592,alpha-Linolenic acid metabolism [PATH:ko00592],13772
nmdc:bsm-11-042nd237,map00600,Sphingolipid metabolism [PATH:ko00600],14539
nmdc:bsm-11-042nd237,map00603,Glycosphingolipid biosynthesis - globo and isoglobo series [PATH:ko00603],4622
nmdc:bsm-11-042nd237,map00604,Glycosphingolipid biosynthesis - ganglio series [PATH:ko00604],1856
nmdc:bsm-11-042nd237,map00620,Pyruvate metabolism [PATH:ko00620],372620
nmdc:bsm-11-042nd237,map00621,Dioxin degradation [PATH:ko00621],6908
nmdc:bsm-11-042nd237,map00622,Xylene degradation [PATH:ko00622],15911
nmdc:bsm-11-042nd237,map00623,Toluene degradation [PATH:ko00623],36451
nmdc:bsm-11-042nd237,map00624,Polycyclic aromatic hydrocarbon degradation [PATH:ko00624],17889
nmdc:bsm-11-042nd237,map00625,Chloroalkane and chloroalkene degradation [PATH:ko00625],100725
nmdc:bsm-11-042nd237,map00626,Naphthalene degradation [PATH:ko00626],22068
nmdc:bsm-11-042nd237,map00627,Aminobenzoate degradation [PATH:ko00627],43695
nmdc:bsm-11-042nd237,map00630,Glyoxylate and dicarboxylate metabolism [PATH:ko00630],402861
nmdc:bsm-11-042nd237,map00633,Nitrotoluene degradation [PATH:ko00633],25512
nmdc:bsm-11-042nd237,map00640,Propanoate metabolism [PATH:ko00640],205481
nmdc:bsm-11-042nd237,map00642,Ethylbenzene degradation [PATH:ko00642],11364
nmdc:bsm-11-042nd237,map00643,Styrene degradation [PATH:ko00643],37992
nmdc:bsm-11-042nd237,map00650,Butanoate metabolism [PATH:ko00650],310114
nmdc:bsm-11-042nd237,map00660,C5-Branched dibasic acid metabolism [PATH:ko00660],72388
nmdc:bsm-11-042nd237,map00670,One carbon pool by folate [PATH:ko00670],150794
nmdc:bsm-11-042nd237,map00680,Methane metabolism [PATH:ko00680],275684
nmdc:bsm-11-042nd237,map00710,Carbon fixation by Calvin cycle [PATH:ko00710],126609
nmdc:bsm-11-042nd237,map00720,Other carbon fixation pathways [PATH:ko00720],249497
nmdc:bsm-11-042nd237,map00730,Thiamine metabolism [PATH:ko00730],78967
nmdc:bsm-11-042nd237,map00740,Riboflavin metabolism [PATH:ko00740],19514
nmdc:bsm-11-042nd237,map00750,Vitamin B6 metabolism [PATH:ko00750],28384
nmdc:bsm-11-042nd237,map00760,Nicotinate and nicotinamide metabolism [PATH:ko00760],68975
nmdc:bsm-11-042nd237,map00770,Pantothenate and CoA biosynthesis [PATH:ko00770],129929
nmdc:bsm-11-042nd237,map00780,Biotin metabolism [PATH:ko00780],83059
nmdc:bsm-11-042nd237,map00785,Lipoic acid metabolism [PATH:ko00785],122152
nmdc:bsm-11-042nd237,map00790,Folate biosynthesis [PATH:ko00790],63397
nmdc:bsm-11-042nd237,map00791,Atrazine degradation [PATH:ko00791],4408
nmdc:bsm-11-042nd237,map00830,Retinol metabolism [PATH:ko00830],18677
nmdc:bsm-11-042nd237,map00860,Porphyrin metabolism [PATH:ko00860],124079
nmdc:bsm-11-042nd237,map00900,Terpenoid backbone biosynthesis [PATH:ko00900],123573
nmdc:bsm-11-042nd237,map00901,Indole alkaloid biosynthesis [PATH:ko00901],738
nmdc:bsm-11-042nd237,map00902,Monoterpenoid biosynthesis [PATH:ko00902],40
nmdc:bsm-11-042nd237,map00903,Limonene degradation [PATH:ko00903],50758
