biosample_id,pathway_id,pathway_name,n_metag_kos,n_metat_kos,n_shared_kos
nmdc:bsm-11-042nd237,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010],80,79,75
nmdc:bsm-11-042nd237,map00020,Citrate cycle (TCA cycle) [PATH:ko00020],54,55,53
nmdc:bsm-11-042nd237,map00030,Pentose phosphate pathway [PATH:ko00030],62,60,58
nmdc:bsm-11-042nd237,map00040,Pentose and glucuronate interconversions [PATH:ko00040],73,65,64
nmdc:bsm-11-042nd237,map00051,Fructose and mannose metabolism [PATH:ko00051],85,76,74
nmdc:bsm-11-042nd237,map00052,Galactose metabolism [PATH:ko00052],42,40,33
nmdc:bsm-11-042nd237,map00053,Ascorbate and aldarate metabolism [PATH:ko00053],40,40,37
nmdc:bsm-11-042nd237,map00061,Fatty acid biosynthesis [PATH:ko00061],33,32,32
nmdc:bsm-11-042nd237,map00062,Fatty acid elongation [PATH:ko00062],9,15,9
nmdc:bsm-11-042nd237,map00071,Fatty acid degradation [PATH:ko00071],35,42,33
nmdc:bsm-11-042nd237,map00073,"Cutin, suberine and wax biosynthesis [PATH:ko00073]",3,5,3
nmdc:bsm-11-042nd237,map00074,Mycolic acid biosynthesis [PATH:ko00074],17,14,14
nmdc:bsm-11-042nd237,map00100,Steroid biosynthesis [PATH:ko00100],19,20,19
nmdc:bsm-11-042nd237,map00120,Primary bile acid biosynthesis [PATH:ko00120],5,5,5
nmdc:bsm-11-042nd237,map00121,Secondary bile acid biosynthesis [PATH:ko00121],3,3,3
nmdc:bsm-11-042nd237,map00130,Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130],52,42,41
nmdc:bsm-11-042nd237,map00140,Steroid hormone biosynthesis [PATH:ko00140],8,6,5
nmdc:bsm-11-042nd237,map00190,Oxidative phosphorylation [PATH:ko00190],142,168,138
nmdc:bsm-11-042nd237,map00194,Photosynthesis proteins [BR:ko00194],19,21,16
nmdc:bsm-11-042nd237,map00195,Photosynthesis [PATH:ko00195],14,19,14
nmdc:bsm-11-042nd237,map00196,Photosynthesis - antenna proteins [PATH:ko00196],3,0,0
nmdc:bsm-11-042nd237,map00199,Cytochrome P450 [BR:ko00199],31,35,23
nmdc:bsm-11-042nd237,map00220,Arginine biosynthesis [PATH:ko00220],53,51,50
nmdc:bsm-11-042nd237,map00230,Purine metabolism [PATH:ko00230],140,141,129
nmdc:bsm-11-042nd237,map00232,Caffeine metabolism [PATH:ko00232],4,4,3
nmdc:bsm-11-042nd237,map00240,Pyrimidine metabolism [PATH:ko00240],83,82,76
nmdc:bsm-11-042nd237,map00250,"Alanine, aspartate and glutamate metabolism [PATH:ko00250]",53,49,48
nmdc:bsm-11-042nd237,map00253,Tetracycline biosynthesis [PATH:ko00253],10,8,8
nmdc:bsm-11-042nd237,map00254,Aflatoxin biosynthesis [PATH:ko00254],2,4,1
nmdc:bsm-11-042nd237,map00260,"Glycine, serine and threonine metabolism [PATH:ko00260]",90,85,85
nmdc:bsm-11-042nd237,map00261,Monobactam biosynthesis [PATH:ko00261],17,16,16
nmdc:bsm-11-042nd237,map00270,Cysteine and methionine metabolism [PATH:ko00270],93,88,85
nmdc:bsm-11-042nd237,map00280,"Valine, leucine and isoleucine degradation [PATH:ko00280]",55,56,52
nmdc:bsm-11-042nd237,map00290,"Valine, leucine and isoleucine biosynthesis [PATH:ko00290]",16,15,15
nmdc:bsm-11-042nd237,map00300,Lysine biosynthesis [PATH:ko00300],38,34,33
nmdc:bsm-11-042nd237,map00310,Lysine degradation [PATH:ko00310],50,56,47
nmdc:bsm-11-042nd237,map00311,Penicillin and cephalosporin biosynthesis [PATH:ko00311],6,6,6
nmdc:bsm-11-042nd237,map00330,Arginine and proline metabolism [PATH:ko00330],69,71,65
nmdc:bsm-11-042nd237,map00331,Clavulanic acid biosynthesis [PATH:ko00331],3,0,0
nmdc:bsm-11-042nd237,map00332,Carbapenem biosynthesis [PATH:ko00332],4,2,2
nmdc:bsm-11-042nd237,map00333,Prodigiosin biosynthesis [PATH:ko00333],8,7,6
nmdc:bsm-11-042nd237,map00340,Histidine metabolism [PATH:ko00340],39,40,39
nmdc:bsm-11-042nd237,map00350,Tyrosine metabolism [PATH:ko00350],52,51,48
nmdc:bsm-11-042nd237,map00360,Phenylalanine metabolism [PATH:ko00360],53,48,47
nmdc:bsm-11-042nd237,map00361,Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361],26,15,15
nmdc:bsm-11-042nd237,map00362,Benzoate degradation [PATH:ko00362],92,80,80
nmdc:bsm-11-042nd237,map00363,Bisphenol degradation [PATH:ko00363],2,2,2
nmdc:bsm-11-042nd237,map00364,Fluorobenzoate degradation [PATH:ko00364],10,10,10
nmdc:bsm-11-042nd237,map00365,Furfural degradation [PATH:ko00365],8,8,8
nmdc:bsm-11-042nd237,map00380,Tryptophan metabolism [PATH:ko00380],44,43,39
nmdc:bsm-11-042nd237,map00400,"Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]",56,52,51
nmdc:bsm-11-042nd237,map00401,Novobiocin biosynthesis [PATH:ko00401],15,12,10
nmdc:bsm-11-042nd237,map00403,Indole diterpene alkaloid biosynthesis [PATH:ko00403],0,0,0
nmdc:bsm-11-042nd237,map00404,Staurosporine biosynthesis [PATH:ko00404],5,2,2
nmdc:bsm-11-042nd237,map00405,Phenazine biosynthesis [PATH:ko00405],6,5,5
nmdc:bsm-11-042nd237,map00410,beta-Alanine metabolism [PATH:ko00410],35,35,33
nmdc:bsm-11-042nd237,map00430,Taurine and hypotaurine metabolism [PATH:ko00430],19,18,18
nmdc:bsm-11-042nd237,map00440,Phosphonate and phosphinate metabolism [PATH:ko00440],21,19,19
nmdc:bsm-11-042nd237,map00450,Selenocompound metabolism [PATH:ko00450],21,22,20
nmdc:bsm-11-042nd237,map00460,Cyanoamino acid metabolism [PATH:ko00460],14,12,11
nmdc:bsm-11-042nd237,map00470,D-Amino acid metabolism [PATH:ko00470],41,35,35
nmdc:bsm-11-042nd237,map00480,Glutathione metabolism [PATH:ko00480],35,43,35
nmdc:bsm-11-042nd237,map00500,Starch and sucrose metabolism [PATH:ko00500],75,78,70
nmdc:bsm-11-042nd237,map00510,N-Glycan biosynthesis [PATH:ko00510],29,33,29
nmdc:bsm-11-042nd237,map00511,Other glycan degradation [PATH:ko00511],16,15,14
nmdc:bsm-11-042nd237,map00512,Mucin type O-glycan biosynthesis [PATH:ko00512],2,1,1
nmdc:bsm-11-042nd237,map00513,Various types of N-glycan biosynthesis [PATH:ko00513],24,24,22
nmdc:bsm-11-042nd237,map00514,Other types of O-glycan biosynthesis [PATH:ko00514],7,6,4
nmdc:bsm-11-042nd237,map00515,Mannose type O-glycan biosynthesis [PATH:ko00515],3,2,2
nmdc:bsm-11-042nd237,map00520,Amino sugar and nucleotide sugar metabolism [PATH:ko00520],82,81,73
nmdc:bsm-11-042nd237,map00521,Streptomycin biosynthesis [PATH:ko00521],13,12,12
nmdc:bsm-11-042nd237,map00522,"Biosynthesis of 12-, 14- and 16-membered macrolides [PATH:ko00522]",1,0,0
nmdc:bsm-11-042nd237,map00523,Polyketide sugar unit biosynthesis [PATH:ko00523],21,16,14
nmdc:bsm-11-042nd237,map00524,"Neomycin, kanamycin and gentamicin biosynthesis [PATH:ko00524]",4,3,3
nmdc:bsm-11-042nd237,map00525,Acarbose and validamycin biosynthesis [PATH:ko00525],12,4,4
nmdc:bsm-11-042nd237,map00531,Glycosaminoglycan degradation [PATH:ko00531],11,12,11
nmdc:bsm-11-042nd237,map00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate [PATH:ko00532],1,1,0
nmdc:bsm-11-042nd237,map00533,Glycosaminoglycan biosynthesis - keratan sulfate [PATH:ko00533],1,1,1
nmdc:bsm-11-042nd237,map00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin [PATH:ko00534],1,1,1
nmdc:bsm-11-042nd237,map00535,Proteoglycans [BR:ko00535],1,5,1
nmdc:bsm-11-042nd237,map00536,Glycosaminoglycan binding proteins [BR:ko00536],13,25,13
nmdc:bsm-11-042nd237,map00537,Glycosylphosphatidylinositol (GPI)-anchored proteins [BR:ko00537],10,17,9
nmdc:bsm-11-042nd237,map00540,Lipopolysaccharide biosynthesis [PATH:ko00540],27,23,22
nmdc:bsm-11-042nd237,map00541,Biosynthesis of various nucleotide sugars [PATH:ko00541],82,73,72
nmdc:bsm-11-042nd237,map00542,O-Antigen repeat unit biosynthesis [PATH:ko00542],4,2,2
nmdc:bsm-11-042nd237,map00543,Exopolysaccharide biosynthesis [PATH:ko00543],35,26,26
nmdc:bsm-11-042nd237,map00550,Peptidoglycan biosynthesis [PATH:ko00550],36,34,34
nmdc:bsm-11-042nd237,map00552,Teichoic acid biosynthesis [PATH:ko00552],19,15,15
nmdc:bsm-11-042nd237,map00561,Glycerolipid metabolism [PATH:ko00561],48,54,45
nmdc:bsm-11-042nd237,map00562,Inositol phosphate metabolism [PATH:ko00562],44,43,39
nmdc:bsm-11-042nd237,map00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis [PATH:ko00563],19,22,17
nmdc:bsm-11-042nd237,map00564,Glycerophospholipid metabolism [PATH:ko00564],77,83,72
nmdc:bsm-11-042nd237,map00565,Ether lipid metabolism [PATH:ko00565],16,18,14
nmdc:bsm-11-042nd237,map00571,Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571],14,12,12
nmdc:bsm-11-042nd237,map00572,Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572],12,8,8
nmdc:bsm-11-042nd237,map00590,Arachidonic acid metabolism [PATH:ko00590],13,22,13
nmdc:bsm-11-042nd237,map00591,Linoleic acid metabolism [PATH:ko00591],6,10,6
nmdc:bsm-11-042nd237,map00592,alpha-Linolenic acid metabolism [PATH:ko00592],10,15,10
nmdc:bsm-11-042nd237,map00600,Sphingolipid metabolism [PATH:ko00600],23,31,23
nmdc:bsm-11-042nd237,map00601,Glycosphingolipid biosynthesis - lacto and neolacto series [PATH:ko00601],1,0,0
nmdc:bsm-11-042nd237,map00603,Glycosphingolipid biosynthesis - globo and isoglobo series [PATH:ko00603],4,4,3
nmdc:bsm-11-042nd237,map00604,Glycosphingolipid biosynthesis - ganglio series [PATH:ko00604],2,3,2
nmdc:bsm-11-042nd237,map00620,Pyruvate metabolism [PATH:ko00620],98,102,97
nmdc:bsm-11-042nd237,map00621,Dioxin degradation [PATH:ko00621],14,14,13
nmdc:bsm-11-042nd237,map00622,Xylene degradation [PATH:ko00622],28,26,26
nmdc:bsm-11-042nd237,map00623,Toluene degradation [PATH:ko00623],25,19,19
nmdc:bsm-11-042nd237,map00624,Polycyclic aromatic hydrocarbon degradation [PATH:ko00624],25,18,17
nmdc:bsm-11-042nd237,map00625,Chloroalkane and chloroalkene degradation [PATH:ko00625],16,16,14
nmdc:bsm-11-042nd237,map00626,Naphthalene degradation [PATH:ko00626],13,13,13
nmdc:bsm-11-042nd237,map00627,Aminobenzoate degradation [PATH:ko00627],61,53,51
