biosample_id,spearman_r,p_value,n_taxa
nmdc:bsm-11-3p2mnz08,0.6007217603574175,3.1740669458559987e-12,111
nmdc:bsm-11-65a4xw75,0.7217447720280505,1.9024875399463022e-19,113
nmdc:bsm-11-6m6c9g55,0.6639791363269804,6.055735574871306e-16,115
nmdc:bsm-11-6x067s27,0.7219178954546982,3.8933816609637137e-19,111
nmdc:bsm-11-7m09me46,0.6158524295867458,1.0247041908002895e-12,109
nmdc:bsm-11-7twwzs96,0.5513729493519011,2.9746236830726166e-10,112
nmdc:bsm-11-93mc8g67,0.6529754966287868,6.0918469047487726e-15,112
nmdc:bsm-11-cwey4y35,0.6291955868157759,8.431174238753576e-14,113
nmdc:bsm-11-frgt4x11,0.6259273034800772,2.6354437217915503e-13,110
nmdc:bsm-11-g61cvw79,0.6781972344352569,1.0163235561669594e-15,107
nmdc:bsm-11-gk0czc37,0.703675484460315,1.0075191670377521e-17,110
nmdc:bsm-11-gr59rt72,0.7645279143054685,6.648717939961434e-23,113
nmdc:bsm-11-xtz7he28,0.6430543815306237,3.599630967722599e-14,110
